id,name,lat,long,type,adj_type
44563,Restaurant Granja Camps Elisis,42.540705,1.733794,gastronomy,gastronomy
11456,Restaurant Hotel Paris,42.535896,1.581838,gastronomy,gastronomy
44564,Bar El Raval,42.507488,1.528972,gastronomy,gastronomy
11072,Restaurant El ProvenÍ_al,42.539169,1.733372,gastronomy,gastronomy
10812,Bar Tres Estanys,42.531777,1.698922,gastronomy,gastronomy
11458,Restaurant Hotel Parma,42.54339,1.732728,gastronomy,gastronomy
11074,Restaurant El RacÍ_ del GarrÍ_,42.533489,1.579902,gastronomy,gastronomy
44565,Bar Entre amics,42.504075,1.523066,gastronomy,gastronomy
10816,Bar Restaurant TurÍ_stic,42.511922,1.535114,gastronomy,gastronomy
11460,Restaurant Hotel Pere d'Urg,42.534864,1.580288,gastronomy,gastronomy
11076,Bar El RacÍ_ d'en Guizzi,42.505654,1.527749,gastronomy,gastronomy
44566,Cafeteria L'altra Grandalla,42.507349,1.530136,gastronomy,gastronomy
10818,Bar Valipas,42.534761,1.580025,gastronomy,gastronomy
11464,Restaurant Ermitage,42.465481,1.491528,gastronomy,gastronomy
11078,Restaurant El Rebost del PadrÍ_,42.506896,1.521099,gastronomy,gastronomy
44567,Bar l'Amic,42.504336,1.514594,gastronomy,gastronomy
10820,Snack-Bar Valireta,42.462754,1.49034,gastronomy,gastronomy
