id,name,lat,long,type
137210,Caf’å Noir,42.507711,1.531595,gastronomy
43483,Cafeteria Granja Mil fulls,42.509355,1.542616,gastronomy
137211,Forn de pa d'Antoni,42.506433,1.515782,gastronomy
10776,Snack-Bar L'Oregon,42.542441,1.734434,gastronomy
43498,Bar Lurdes,42.512414,1.541441,gastronomy
137212,Bar Restaurant Ponte de Lima,42.505872,1.517235,gastronomy
11038,Restaurant Quarts de Quinze,42.508204,1.521741,gastronomy
11422,Restaurant Hotel del Tarter,42.578793,1.649998,gastronomy
137254,Bar Restaurant Miquel,42.453208,1.487352,gastronomy
43500,Bar Residencia N’_ria,42.509146,1.541097,gastronomy
10778,Bar Restaurant Riau,42.512546,1.538875,gastronomy
137256,Cafeteria Art i Pa III,42.465243,1.490964,gastronomy
11424,Restaurant Hotel Diplom’_tic,42.505386,1.528712,gastronomy
11042,Bar Totaneta,42.507382,1.531852,gastronomy
137257,Restaurant Jaleo,42.510989,1.538244,gastronomy
137258,Restaurant Atl’_ntida (Hotel Metr’_polis),42.510261,1.540948,gastronomy
44537,Restaurant Pizzeria Angelo & Express,42.507428,1.533085,gastronomy
10780,Snack-Bar Ries Baixes,42.50512,1.526113,gastronomy
11046,Restaurant Big Ben,42.508125,1.535535,gastronomy
11426,Restaurant Hotel El Xalet,42.579733,1.650197,gastronomy
44538,Restaurant La Rabassa,42.447761,1.508746,gastronomy
137265,Restaurant Delicies Turques,42.508217,1.538245,gastronomy
11428,Restaurant Hotel Erts,42.561651,1.497772,gastronomy
10782,Bar Restaurant Roses,42.468039,1.493789,gastronomy
11048,Restaurant Blau Envalira,42.54207,1.73172,gastronomy
137267,Mama Dol’_a,42.512219,1.539166,gastronomy
10784,Bar Jocs Esportius Sant Juli’_,42.469616,1.493132,gastronomy
44539,Bar Amnesia,42.510135,1.532432,gastronomy
137268,Cafeteria La Ratatouille,42.510915,1.538861,gastronomy
137269,Bar Restaurant Santa Anna,42.509164,1.541588,gastronomy
11050,Restaurant Cant’_bric a Taula,42.465402,1.491233,gastronomy
11430,Restaurant Hotel Folch,42.467562,1.493623,gastronomy
44540,Restaurant Hotel Mila,42.533531,1.61051,gastronomy
137272,Snack-Bar Ancora,42.509976,1.54224,gastronomy
10786,Bar Salamanca,42.510126,1.541825,gastronomy
11432,Restaurant Hotel Galanthus,42.582498,1.663721,gastronomy
11052,Restaurant Casa del Bistec,42.50856,1.535983,gastronomy
44541,Bar L'Alternativa,42.50815,1.521841,gastronomy
10788,Bar Sant Rom’_,42.567038,1.489768,gastronomy
137274,Restaurant Koy Hermitage,42.575556,1.671111,gastronomy
44542,Restaurant Andburger Zero,42.536265,1.583022,gastronomy
137287,Restaurant La Tofana,42.575556,1.671111,gastronomy
10790,Bar Segle XXI,42.532836,1.576763,gastronomy
44544,Restaurant la Coma & Self-service,42.631596,1.48696,gastronomy
11436,Restaurant Hotel C’åntric,42.508339,1.531348,gastronomy
137292,Restaurant Hotel Xalet Montana,42.576948,1.666083,gastronomy
137297,Restaurant Can Fontbernat,42.534384,1.58285,gastronomy
11056,Restaurant Cesar II,42.509161,1.54182,gastronomy
44545,Restaurant El Rac’_ del Prat de les Mines,42.601631,1.534695,gastronomy
10792,Bar Serra do Geres,42.50894,1.543134,gastronomy
137298,Bar Restaurant Funicamp,42.535615,1.587349,gastronomy
11438,Restaurant Hotel Cosmos,42.510118,1.53821,gastronomy
44547,Cafeteria D Delicios,42.507661,1.531674,gastronomy
10794,Bar Restaurant Sevilla,42.509322,1.542297,gastronomy
11058,Restaurant Chez Paulo,42.542951,1.735008,gastronomy
137301,Underground Bar,42.541503,1.731763,gastronomy
11440,Restaurant Hotel Kandahar,42.542046,1.731709,gastronomy
137309,Restaurant Bistrot,42.531902,1.573605,gastronomy
44554,Restaurant Andburger Zero,42.532118,1.695904,gastronomy
137310,Bar Xurrasqueria Mon’_anense,42.533863,1.580241,gastronomy
11060,Restaurant Cuina Manx’_ria Imperial,42.508307,1.540744,gastronomy
137311,Bar Cal l'Entrep’_,42.535931,1.492492,gastronomy
11442,Restaurant Hotel Les Truites,42.542971,1.734987,gastronomy
44555,Restaurant Hotel Mirtil,42.541813,1.732986,gastronomy
10802,Bar Restaurant Tarragona,42.505064,1.52593,gastronomy
137400,Restaurant Pastisseria l'Espiga d'Or,42.506773,1.530297,gastronomy
44556,Restaurant l'Husky,42.540862,1.731893,gastronomy
11446,Restaurant Hotel Montecarlo,42.532212,1.573877,gastronomy
10804,Bar Restaurant Terra Alta,42.506449,1.529406,gastronomy
137516,Snack-Bar Harlem,42.506732,1.520757,gastronomy
11064,Restaurant Delicius,42.507756,1.534138,gastronomy
44557,Underground Sports Bar and Grill,42.541683,1.732036,gastronomy
11448,Restaurant Hotel Naudi,42.577086,1.665963,gastronomy
137526,Restaurant Cal Sinquede,42.508327,1.521739,gastronomy
10806,Bar Tert’_lia,42.507696,1.53428,gastronomy
44558,Restaurant La Gratinada,42.540883,1.733738,gastronomy
11066,Restaurant Cubil,42.531777,1.698922,gastronomy
138018,Restaurant La Vita ’å Vegan,42.510399,1.541987,gastronomy
10808,Bar Tinc 7,42.566455,1.598961,gastronomy
44560,Bar Winsord (Hotel Mercure),42.507775,1.527516,gastronomy
11068,Restaurant El Gran Caf’©,42.505699,1.520045,gastronomy
11452,Restaurant Hotel Oros,42.536339,1.582332,gastronomy
138621,Hardbreak,42.507245,1.526054,gastronomy
44562,Restaurant La Borda,42.540705,1.733794,gastronomy
11454,Restaurant Emo - Hotel Palom’©,42.565187,1.490855,gastronomy
11070,Restaurant El Mussol,42.510464,1.541187,gastronomy
44563,Restaurant Granja Camps Elisis,42.540705,1.733794,gastronomy
11456,Restaurant Hotel Paris,42.535896,1.581838,gastronomy
44564,Bar El Raval,42.507488,1.528972,gastronomy
11072,Restaurant El Proven’_al,42.539169,1.733372,gastronomy
10812,Bar Tres Estanys,42.531777,1.698922,gastronomy
11458,Restaurant Hotel Parma,42.54339,1.732728,gastronomy
11074,Restaurant El Rac’_ del Garr’_,42.533489,1.579902,gastronomy
44565,Bar Entre amics,42.504075,1.523066,gastronomy
10816,Bar Restaurant Tur’_stic,42.511922,1.535114,gastronomy
11460,Restaurant Hotel Pere d'Urg,42.534864,1.580288,gastronomy
11076,Bar El Rac’_ d'en Guizzi,42.505654,1.527749,gastronomy
44566,Cafeteria L'altra Grandalla,42.507349,1.530136,gastronomy
10818,Bar Valipas,42.534761,1.580025,gastronomy
11464,Restaurant Ermitage,42.465481,1.491528,gastronomy
11078,Restaurant El Rebost del Padr’_,42.506896,1.521099,gastronomy
44567,Bar l'Amic,42.504336,1.514594,gastronomy
10820,Snack-Bar Valireta,42.462754,1.49034,gastronomy
44574,Bar Pa I M’©s,42.507553,1.521359,gastronomy
11080,Restaurant El Refugi (Hotel Tropical),42.512886,1.551229,gastronomy
11468,Restaurant Hotel Soldeu Maistre,42.577215,1.666269,gastronomy
10822,Bar Restaurant Ver’_n,42.466373,1.492545,gastronomy
11082,Restaurant El Refugi Alp’_,42.508964,1.529095,gastronomy
44575,Cafeteria Pastisseria Reina,42.507553,1.521359,gastronomy
11470,Restaurant El Rac’_ dels Avets - Hotel St. Gothard,42.566297,1.490368,gastronomy
10824,Snack-Bar Wi-Fi Caf’å,42.507429,1.527518,gastronomy
11084,Restaurant El Prat del Roure,42.510882,1.535988,gastronomy
44580,Cafeteria Santa Gloria,42.5079,1.533591,gastronomy
11472,Restaurant Hotel Sucar’_,42.574139,1.518471,gastronomy
