motor,id
1,30742
1,30388
1,30034
1,30211
1,30567
1,30744
1,30743
1,30390
1,30391
1,30037
1,30214
1,16200
1,16199
1,16022
1,15844
1,15845
1,15667
1,15489
1,15490
1,15312
1,17619
1,17620
1,17973
1,17796
1,18327
1,18150
1,17443
1,17442
1,17265
1,17088
1,16911
1,16733
1,16734
1,16556
1,16555
1,16377
1,16378
1,23289
1,23290
1,25948
1,25771
1,26661
1,26662
1,27196
1,27195
1,26840
1,26839
1,27017
1,27018
1,26484
1,26307
1,26306
1,26128
1,26129
1,25951
1,25950
1,26127
1,26128
1,26126
1,26127
1,26128
1,26125
1,26659
1,27190
1,27191
1,26836
1,27013
1,26481
1,26482
1,26304
1,26127
1,26128
1,20463
1,20462
1,21344
1,20994
1,20995
1,20993
1,20988
1,20989
1,21167
1,21168
1,21169
1,21170
1,21166
1,20811
1,20812
1,20813
